nombre,fecha,irrenunciable,tipo,leyes
Año Nuevo,2024-01-01,1,Civil,
Viernes Santo,2024-03-29,0,Religioso,
Sábado Santo,2024-03-30,0,Religioso,
Día Nacional del Trabajo,2024-05-01,1,Civil,
Día de las Glorias Navales,2024-05-21,0,Civil,
Elecciones Primarias Alcaldes y Gobernadores,2024-06-09,0,Civil,
Día Nacional de los Pueblos Indígenas,2024-06-20,0,Civil,
San Pedro y San Pablo,2024-06-29,0,Religioso,
Día de la Virgen del Carmen,2024-07-16,0,Religioso,
Asunción de la Virgen,2024-08-15,0,Religioso,
Independencia Nacional,2024-09-18,1,Civil,
Día de las Glorias del Ejército,2024-09-19,1,Civil,
Feriado Adicional Fiestas Patrias,2024-09-20,0,Civil,
Encuentro de Dos Mundos,2024-10-12,0,Civil,
"Elecciones Municipales, Consejeros Regionales y Gobernadores Regionales",2024-10-27,1,Civil,
Día de las Iglesias Evangélicas y Protestantes,2024-10-31,0,Religioso,
Día de Todos los Santos,2024-11-01,0,Religioso,
Segunda Vuelta Elección Gobernadores Regionales,2024-11-24,1,Civil,
Inmaculada Concepción,2024-12-08,0,Religioso,
Navidad,2024-12-25,1,Religioso,
