Museum Names,Museum Ratings,Museum Reviews
Casa Museo La Chascona,"4,5",9425.0
Museo De La Memoria Y Los Derechos Humanos,"4,5",6190.0
Museo Chileno de Arte Precolombino,"4,5",4943.0
La Sebastiana Casa de Pablo Neruda,"4,5",5060.0
Casa de Pablo Neruda,"4,5",2010.0
Museo Interactivo Mirador,"4,5",2159.0
Centro Cultural Palacio de la Moneda y Plaza de la Ciudadanía,"4,5",4060.0
Nao Victoria Museo,"4,5",1086.0
Museo Nacional de Bellas Artes,"4,0",2073.0
Museo Histórico Nacional,"4,0",1062.0
Colchagua Museum,"5,0",1510.0
Corporación Museo de Arqueología e Historia Francisco Fonck,"4,5",907.0
Museo del Meteorito,"4,5",751.0
Museo Corbeta Esmeralda,"4,5",1365.0
ALMA Observatory,"4,5",207.0
Museo Nacional de Historia Natural,"4,5",538.0
Museo Pablo Fierro,"4,5",773.0
Observatorio Mamalluca,"4,0",710.0
Palácio Sara Braun,"4,5",496.0
Museo Salesiano / Magiorinno Borgatello,"4,5",418.0
Museo Colonial Alemán,"4,5",604.0
Palacio Baburizza,"4,5",428.0
Museo Maritimo Nacional,"4,5",497.0
Museo Momias Chinchorro,"4,5",287.0
Museo Regional De Magallanes,"4,5",446.0
Ruinas de Huanchaca,"4,0",400.0
Monitor Huáscar,"4,5",283.0
Museo de Santiago - Casa Colorada,"4,0",544.0
Observatorio del Pangue,"4,5",164.0
Museos Ralli,"4,5",128.0
Museo de Santiago - Casa Colorada,"4,0",544.0
Museo Regional De Magallanes,"4,5",446.0
Museo Naval Submarino O'Brien,"4,0",249.0
Observatorio del Pangue,"4,5",164.0
Museo Arqueologico San Miguel de Azapa,"4,5",498.0
Casa del Arte - Pinacoteca,"4,5",294.0
Museo de Historia Natural de Valparaiso,"4,5",226.0
Planetario de Santiago - Universidad de Santiago de Chile - Usach,"4,5",176.0
Museo del Mar,"5,0",117.0
Museo Nacional Ferrioviario Pablo Neruda Temuco,"4,5",274.0
Museo Artequin,"4,0",128.0
Estancia El Cuadro,"4,5",201.0
Centro Astronomico Tagua Tagua,"5,0",42.0
Plaza Acevedo,"4,0",163.0
Casa del Castellano,"4,5",378.0
Museo Violeta Parra,"4,5",215.0
Museo Palacio Cousiño,"4,5",91.0
Museo Historico e Industrial Puerto Bories,"4,5",118.0
Museo Nacional Aeronautico y del Espacio,"4,5",90.0
European Southern Observatory Paranal,"5,0",75.0
Central Post Office (Museo Postal),"4,0",267.0
Museo Antropológico P. Sebastián Englert,"4,0",573.0
Villa Victoria,"5,0",104.0
Observatorio Astronomico La Silla De Eso,"4,5",38.0
Observatorio Etno-Astronomico Licanantay,"5,0",54.0
Museo Historico y Antropologico,"4,0",114.0
Observatorio Migrantes,"4,5",144.0
Museo Ferroviario de Santiago,"4,0",173.0
Mappin,"5,0",26.0
Museo El  Huique,"4,5",95.0
Museo Ferroviario de Santiago,"4,0",173.0
Centro Astronomico Tagua Tagua,"5,0",42.0
San Pedro de Atacama Celestial Explorations,"4,5",57.0
Plaza Acevedo,"4,0",163.0
La Tehuelche,"4,5",32.0
MAVI UC Museo de Artes Visuales,"4,0",122.0
Casa de Isla Negra,"4,5",74.0
Museo de la Moda,"4,0",136.0
Museo Gabriela Mistral de Vicuña,"4,0",343.0
Ahlarkapin Observatory,"4,0",141.0
Centro Turístico Cooperativa Capel,"4,5",234.0
Museo Regional de Iquique,"4,5",226.0
Observatorio Cruz del Sur,"4,5",61.0
Auto Museum Moncopulli,"5,0",104.0
Museo de los Volcanes,"4,0",274.0
Museo Historico y de Armas,"4,0",195.0
Museo El  Huique,"4,5",95.0
Museo de Las Iglesias de Chiloe,"4,5",91.0
Centro Artesanal,"3,5",93.0
Museo Andino,"4,5",199.0
Ballenera Quintay,"4,0",156.0
Museo De Sitio Colon 10,"4,5",135.0
Museo Naval y Maritimo,"4,0",89.0
Museo Historico y Antropologico,"4,0",114.0
Museo Mirador Lukas,"4,0",157.0
Museo Arqueológico de La Serena,"4,0",132.0
Observatorio Astronómico Cielos Chilenos,"4,5",16.0
Museo Del Recuerdo,"4,5",92.0
CloseUp Chile,"5,0",18.0
Museo de Arte Moderno Chiloe,"4,5",74.0
Museo de la Educacion Gabriela Mistral,"4,0",26.0
Museo del Presidente Pinochet,"3,0",23.0
Museo Mineralógico Uda,"4,0",17.0
Centro de Arte Molino Machmar,"4,5",13.0
Paseo de Las Artes,"4,0",26.0
