lat,lon,amenaza,probabilidad
-35.428926,-71.660416,Robo,0.2
-33.449991,-70.681394,Robo,0.0
-30.586905,-71.180516,Robo,0.0
-34.468581,-71.164419,Robo,0.0
-33.95401,-71.82991,Robo,0.0
-33.638788,-70.567121,Robo,0.0
-27.363198,-70.340173,Robo,0.0
-42.143795,-73.471315,Robo,0.0
-33.44377,-70.645355,Robo,0.0
-36.8292,-73.034558,Robo,0.0
-34.704158,-71.569236,Robo,0.0
-52.776262,-69.289839,Robo,0.0
-32.636244,-70.726634,Robo,0.0
-36.13057,-72.789981,Robo,0.0
-45.56857,-72.067541,Robo,0.0
-34.573401,-70.991893,Robo,0.0
-33.441957,-70.675675,Robo,0.0
-23.644285,-70.3978,Robo,0.0
-40.609351,-72.820037,Robo,0.0
-33.441733,-70.750335,Robo,0.0
-18.516509,-70.180821,Robo,0.0
-36.580107,-72.765111,Robo,0.0
-20.4336,-69.5787,Robo,0.0
-36.797104,-73.152633,Robo,0.0
-40.244702,-72.690974,Robo,0.0
-40.574651,-73.104751,Robo,0.0
-33.437445,-70.640901,Robo,0.0
-32.869142,-70.615889,Robo,0.0
-36.815448,-73.03039,Robo,0.0
-22.26997,-68.631099,Robo,0.0
-53.133223,-70.881886,Robo,0.0
-23.670139,-70.404583,Robo,0.5
-37.092257,-73.162176,Robo,0.4
-39.284983,-72.224571,Robo,0.0
-40.576006,-73.134884,Robo,0.0
-36.611798,-72.104564,Robo,0.0
-29.902934,-71.252799,Robo,0.0
-39.273814,-71.979065,Robo,0.0
-29.96437,-71.350885,Robo,0.0
-33.04285,-71.629108,Robo,0.0
-32.444101,-71.230993,Robo,0.0
-35.589501,-72.27628,Robo,0.0
-20.216763,-70.152256,Robo,0.0
-20.49088,-69.328375,Robo,0.0
-32.75348,-70.72549,Robo,0.0
-33.382789,-70.552403,Robo,0.0
-38.233083,-72.328223,Robo,0.0
-33.521817,-70.589583,Robo,0.0
-36.828635,-73.049783,Robo,0.5
-35.425657,-71.664681,Robo,0.0
-36.42689,-71.95482,Robo,0.0
-27.064776,-70.823047,Robo,0.0
-33.432096,-70.655946,Robo,0.0
-46.562984,-72.393156,Robo,0.0
-30.598376,-71.196071,Robo,0.3
-38.854623,-71.700473,Robo,0.0
-33.438581,-70.634971,Robo,0.3
-33.239748,-70.740348,Robo,0.0
-22.345476,-69.661211,Robo,0.0
-41.869847,-73.828529,Robo,0.0
-42.380512,-73.648047,Robo,0.0
-20.207595,-69.795606,Robo,0.0
-33.04115,-71.626671,Robo,0.0
-37.005527,-73.144314,Robo,0.0
-33.642957,-70.734033,Robo,0.0
-37.824429,-72.661853,Robo,0.0
-23.09983,-70.452389,Robo,0.0
-53.155568,-70.90208,Robo,0.0
-35.420123,-71.668034,Robo,0.0
-35.384043,-71.446808,Robo,0.0
-36.605133,-72.076493,Robo,0.0
-36.738609,-72.994719,Robo,0.0
-41.940972,-73.828935,Robo,0.0
-40.565503,-73.160496,Robo,0.0
-50.734928,-72.409235,Robo,0.0
-35.331088,-72.41226,Robo,0.0
-33.441976,-70.681719,Robo,0.0
-39.898454,-73.422491,Robo,0.0
-33.441738,-70.612617,Robo,0.0
-40.291031,-73.082893,Robo,0.0
-33.040328,-71.629107,Robo,0.0
-37.080079,-73.164791,Robo,0.0
-53.10738,-70.879225,Robo,0.0
-32.880626,-71.248245,Robo,0.0
-35.967866,-72.335674,Robo,0.0
-29.90652,-71.24474,Robo,0.0
-32.727515,-71.415972,Robo,0.0
-29.902694,-71.243763,Robo,0.0
-33.04649,-71.621139,Robo,0.0
-48.467839,-72.559361,Robo,0.0
-28.578652,-70.755002,Robo,0.0
-32.62023,-70.71129,Robo,0.0
-46.539428,-71.728198,Robo,0.0
-35.557372,-71.589614,Robo,0.0
-36.604361,-72.096437,Robo,0.0
-33.449988,-70.660761,Robo,0.0
-54.505953,-68.732722,Robo,0.0
-33.444305,-70.684188,Robo,0.0
-41.868703,-73.828211,Robo,0.0
-40.97498,-72.884081,Robo,0.0
-35.748869,-71.582362,Robo,0.0
-33.717976,-70.732189,Robo,0.0
-32.816667,-71.233333,Robo,0.6
-33.436259,-70.651157,Robo,0.0
-33.373856,-70.606762,Robo,0.0
-33.0388,-71.628414,Robo,0.6
-33.43115,-70.634472,Robo,0.0
-33.932222,-71.797778,Robo,0.0
-34.704067,-71.56801,Robo,0.0
-18.479127,-70.319321,Robo,0.0
-34.728879,-71.644249,Robo,0.0
-33.463513,-70.610311,Robo,0.0
-28.979641,-70.283043,Robo,0.0
-47.79339,-73.532404,Robo,0.0
-34.06863,-70.72747,Robo,0.0
-41.476154,-72.948435,Robo,0.0
-33.435385,-70.643468,Robo,0.0
-34.173258,-70.741369,Robo,0.6
-39.814004,-73.246747,Robo,0.0
-33.466757,-70.63379,Robo,0.0
-37.798201,-72.717157,Robo,0.0
-33.441055,-70.633868,Robo,0.0
-39.540776,-72.508575,Robo,0.0
-33.048053,-71.630342,Robo,0.6
-37.094477,-73.157824,Robo,0.2
-33.454113,-70.667303,Robo,0.0
-53.295234,-70.366559,Robo,0.0
-36.734876,-72.988977,Robo,0.0
-34.032275,-71.098344,Robo,0.0
-35.734495,-72.532806,Robo,0.0
-33.436998,-70.636077,Robo,0.0
-36.601921,-72.108033,Robo,0.0
-30.034003,-70.716615,Robo,0.0
-33.518634,-70.613446,Robo,0.0
-32.743754,-70.68579,Robo,0.0
-33.038829,-71.628479,Robo,0.6
-39.869964,-73.40272,Robo,0.0
-33.440519,-70.673999,Robo,0.0
-33.031867,-71.63133,Robo,0.0
-37.130364,-72.728671,Robo,0.0
-33.451218,-70.663314,Robo,0.0
-18.479054,-70.31318,Robo,0.0
-33.510714,-70.765055,Robo,0.0
-39.276522,-72.225483,Robo,0.0
-31.782346,-70.959496,Robo,0.0
-33.418544,-70.655444,Robo,0.0
-43.185475,-71.861348,Robo,0.0
-33.110357,-71.571701,Robo,0.0
-32.847671,-70.68557,Robo,0.0
-47.252408,-72.572328,Robo,0.0
-39.813499,-73.250759,Robo,0.0
-37.95864,-72.436005,Robo,0.0
-20.216584,-70.152204,Robo,0.0
-38.736765,-72.60293,Robo,0.0
-32.749665,-70.692714,Robo,0.0
-33.46112,-70.597853,Robo,0.0
-35.0937,-72.018181,Robo,0.0
-20.270888,-70.130104,Robo,0.0
-39.276814,-72.225783,Robo,0.0
-34.154002,-70.731932,Robo,0.0
-36.610168,-72.096377,Robo,0.2
-33.444878,-70.663111,Robo,0.0
-53.602435,-70.94925,Robo,0.0
-41.867248,-73.829099,Robo,0.0
